record_id,historical_ticker,target_name,target_cik,membership_source_url,membership_source_publication_date,announced_index_entry_date,proposed_window_start,proposed_window_end,outcome_state,announcement_date,continuous_membership_verified,negative_label_eligible,validation_contract_ready,receipt_sha256
nbi-2020-12-21:AKUS,AKUS,"Akouos, Inc.",1722271,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,b94ce03bc3bfbdb5753c8fc7b5ae04cabb4a0a96ace3f2d5f56cb2db4c1b2ad1
nbi-2020-12-21:ALT,ALT,"Altimmune, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,ab81a2c084dd1110d9f324b07a38270ad267ec9cdfd85e3cea96fe9053de8b21
nbi-2020-12-21:ALVR,ALVR,"AlloVir, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,3d43cc51fa8dc83505b40cd68239c76a3e03bb67f907231090c3ce72c7411ff3
nbi-2020-12-21:ALXO,ALXO,ALX Oncology Holdings Inc.,,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,f0ebca349d4fe17d0c053af197252bc758376e7c2c2340713d9d67ed1baff52b
nbi-2020-12-21:AMTI,AMTI,Applied Molecular Transport Inc.,1801777,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,d891bc048ee72bccad540210e827c36a849762ef9f331f2904bc0ebe96e5a7a1
nbi-2020-12-21:ANNX,ANNX,"Annexon, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,0fcbb0ee148852e6d4f6eddf3bd75f870c88202cd0c90fc65687a453db115ba8
nbi-2020-12-21:APLT,APLT,"Applied Therapeutics, Inc.",1697532,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,2333ea60a23253f22ffc8faba5a478b7f3938b78c7419ed0e436e6ee252d29a9
nbi-2020-12-21:APRE,APRE,"Aprea Therapeutics, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,62ddbcc4f3ec8e7a235e5a6228ce13fa99516d2b1fe90b5adaaf9fd5d04feab6
nbi-2020-12-21:ARQT,ARQT,"Arcutis Biotherapeutics, Inc.",1787306,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,326c11dd4fbef0e3ffe2861413a2653b4a7e8148d3276e4d4ec7d80428188de3
nbi-2020-12-21:BDTX,BDTX,"Black Diamond Therapeutics, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,44803308b295d1846749ca2db6e4bd50405cf2591fc4cbe3f421197996e914bb
nbi-2020-12-21:BEAM,BEAM,Beam Therapeutics Inc.,1745999,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,4cf7ae2e52e0cffdc3f0d47204c876d28aac456198c39e0f0e70721d8055c376
nbi-2020-12-21:CABA,CABA,"Cabaletta Bio, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,d2d5e9dba3c46bea3057dd099fa6bc35a783fe5e1163989c32363ce3be69b2f7
nbi-2020-12-21:CALA,CALA,"Calithera Biosciences, Inc.",1496671,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,6e80fba8d634f06f020b289bf5ab0e9af230319b554b2709a75bdbda59758252
nbi-2020-12-21:CDXS,CDXS,"Codexis, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,6f0d46f595ebefa2c43ab4fd823cdbc88de5c8f1ce47e7800eb869e5c6d73e46
nbi-2020-12-21:CLVS,CLVS,"Clovis Oncology, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,d7300a6954062ab8762e3de9fe6e1c5311b6398b4ec34b7314e3ec7829d0159c
nbi-2020-12-21:CNCE,CNCE,"Concert Pharmaceuticals, Inc.",1367920,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,77c6eedbb84abf96ab475a553306c1883bc5511ce6fac4ffebaa946f4c1f7689
nbi-2020-12-21:CNST,CNST,"Constellation Pharmaceuticals, Inc.",1434418,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,positive_announcement_in_window,2021-06-02,false,false,false,b5da4a98153f9120969658e2c6a4da388e582714f05584966c1bcc50daf89f91
nbi-2020-12-21:CRNX,CRNX,"Crinetics Pharmaceuticals, Inc.",1658247,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,ac942b6e57d7feda2e2c07cb18e65603bf23436bbf576d362f414be7a1a55805
nbi-2020-12-21:CRTX,CRTX,"Cortexyme, Inc.",,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,unknown,,false,false,false,ec17044c4b2146d473a45460d57f1373fffac68ded12eb1d7be313231c359bc9
nbi-2020-12-21:FPRX,FPRX,"Five Prime Therapeutics, Inc.",1175505,https://ir.nasdaq.com/news-releases/news-release-details/annual-changes-nasdaq-biotechnology-index-6,2020-12-11,2020-12-21,2020-12-21,2021-12-21,positive_announcement_in_window,2021-03-04,false,false,false,561a8eae0838e18acc06f7febf0be61b42d6a21899c804b775bbb8b69f2804d2
