candidate_id,sec_signal_date,filer_name,filer_tickers,event_class,candidate_confidence,decision,reviewed_target_cik,reviewed_target_name,reviewed_target_ticker,acquirer_name,first_public_announcement_at,announcement_date,timestamp_precision,transaction_structure,change_of_control_percent,transaction_status,transaction_status_as_of,review_primary_source_url,public_listing_source_url,public_listing_exchange,public_listing_evidence_as_of,source_title,source_retrieved_at,source_locator,reviewer,reviewed_at,review_notes,reviewer_is_independent_human,training_allowed
1cf9f4eb25ca4a90bff6,2022-02-01,"ZOGENIX, INC.",[],tender_offer_target,high,include,1375151,"Zogenix, Inc.",ZGNX,UCB S.A.,,2022-01-19,date,tender_offer,100,pending,2022-01-19,https://www.ucb.com/newsroom/press-releases/article/ucb-to-acquire-zogenix,https://www.ucb.com/newsroom/press-releases/article/ucb-to-acquire-zogenix,NASDAQ,2022-01-19,UCB to acquire Zogenix,2026-09-08T12:14:14+00:00,"Opening dateline and Transaction Terms, Approvals and Time to Closing",Codex-primary-source-review,2026-09-08T12:14:14+00:00,"UCB S.A. announced a definitive agreement on 2022-01-19 to acquire Zogenix, Inc. through an offer for all outstanding shares at USD 26.00 cash per share plus contingent cash rights of up to USD 2.00 per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under ZGNX. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
73a8c2b1e6498ead30ec,2022-06-17,"Turning Point Therapeutics, Inc.",[],tender_offer_target,high,include,1595893,"Turning Point Therapeutics, Inc.",TPTX,Bristol Myers Squibb,,2022-06-03,date,tender_offer,100,pending,2022-06-03,https://news.bms.com/news/details/2022/Bristol-Myers-Squibb-to-Acquire-Turning-Point-Therapeutics-a-Leading-Precision-Oncology-Company/default.aspx,https://news.bms.com/news/details/2022/Bristol-Myers-Squibb-to-Acquire-Turning-Point-Therapeutics-a-Leading-Precision-Oncology-Company/default.aspx,NASDAQ,2022-06-03,"Bristol Myers Squibb to Acquire Turning Point Therapeutics, a Leading Precision Oncology Company",2026-09-08T12:14:14+00:00,Opening dateline and Transaction Terms,Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Bristol Myers Squibb announced a definitive agreement on 2022-06-03 to acquire Turning Point Therapeutics, Inc. through an offer for all outstanding shares at USD 76.00 cash per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under TPTX. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
5c911a699ab8a9fe3a5d,2022-07-12,"Epizyme, Inc.",[],tender_offer_target,high,include,1571498,"Epizyme, Inc.",EPZM,Ipsen,,2022-06-27,date,tender_offer,100,pending,2022-06-27,https://www.ipsen.com/press-release/ipsen-to-acquire-epizyme-expanding-its-portfolio-in-oncology/,https://www.ipsen.com/press-release/ipsen-to-acquire-epizyme-expanding-its-portfolio-in-oncology/,NASDAQ,2022-06-27,"Ipsen to acquire Epizyme, expanding its portfolio in oncology",2026-09-08T12:14:14+00:00,Opening dateline and Transaction details,Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Ipsen announced a definitive agreement on 2022-06-27 to acquire Epizyme, Inc. through an offer for all outstanding shares at USD 1.45 cash per share plus contingent cash rights of up to USD 1.00 per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under EPZM. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
4879c93e7039c967cc37,2022-09-15,"Forma Therapeutics Holdings, Inc.",[],tender_offer_target,high,include,1538927,"Forma Therapeutics Holdings, Inc.",FMTX,Novo Nordisk,,2022-09-01,date,tender_offer,100,pending,2022-09-01,https://www.novonordisk.com/content/nncorp/global/en/news-and-media/news-and-ir-materials/news-details.html?id=132653,https://www.novonordisk.com/content/nncorp/global/en/news-and-media/news-and-ir-materials/news-details.html?id=132653,NASDAQ,2022-09-01,Novo Nordisk to acquire Forma Therapeutics and expand presence in sickle cell disease and rare blood disorders,2026-09-08T12:14:14+00:00,Opening dateline and About the transaction,Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Novo Nordisk announced a definitive agreement on 2022-09-01 to acquire Forma Therapeutics Holdings, Inc. through an offer for all outstanding shares at USD 20.00 cash per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under FMTX. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. The source page exposes a 12:01:48Z website time; date precision is retained because that field does not establish the first joint public release time. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
534764babbb24bde76d0,2022-10-31,"Akouos, Inc.",[],tender_offer_target,high,include,1722271,"Akouos, Inc.",AKUS,Eli Lilly and Company,,2022-10-18,date,tender_offer,100,pending,2022-10-18,https://investor.lilly.com/news-releases/news-release-details/lilly-acquire-akouos-discover-and-develop-treatments-hearing,https://investor.lilly.com/news-releases/news-release-details/lilly-acquire-akouos-discover-and-develop-treatments-hearing,NASDAQ,2022-10-18,Lilly to Acquire Akouos to Discover and Develop Treatments for Hearing Loss,2026-09-08T12:14:14+00:00,Opening dateline and Terms of the Agreement,Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Eli Lilly and Company announced a definitive agreement on 2022-10-18 to acquire Akouos, Inc. through an offer for all outstanding shares at USD 12.50 cash per share plus contingent cash rights of up to USD 3.00 per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under AKUS. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
696cbe77a4819c73fd44,2022-12-12,"Imago BioSciences, Inc.",[],tender_offer_target,high,include,1623715,"Imago BioSciences, Inc.",IMGO,"Merck & Co., Inc.",2022-11-21T06:45:00-05:00,2022-11-21,timestamp,tender_offer,100,pending,2022-11-21,https://www.merck.com/news/merck-to-acquire-imago-biosciences-inc/,https://www.merck.com/news/merck-to-acquire-imago-biosciences-inc/,NASDAQ,2022-11-21,"Merck to Acquire Imago BioSciences, Inc.",2026-09-08T12:14:14+00:00,"Publication timestamp, opening paragraph and Transaction Details",Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Merck & Co., Inc. announced a definitive agreement on 2022-11-21 to acquire Imago BioSciences, Inc. through an offer for all outstanding shares at USD 36.00 cash per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under IMGO. Closing remained conditional at announcement. Merck release explicitly prints November 21, 2022 6:45 am EST. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
5f40eb65849ab8e59926,2023-01-23,"CinCor Pharma, Inc.",[],tender_offer_target,high,include,1868734,"CinCor Pharma, Inc.",CINC,AstraZeneca,2023-01-09T07:00:00+00:00,2023-01-09,timestamp,tender_offer,100,pending,2023-01-09,https://www.astrazeneca.com/media-centre/press-releases/2023/astrazeneca-acquire-cincor-for-cardiorenal-asset.html,https://www.sec.gov/Archives/edgar/data/1868734/000119312523004258/d309038dex991.htm,NASDAQ,2023-01-09,AstraZeneca to acquire CinCor Pharma to strengthen cardiorenal pipeline,2026-09-08T12:14:14+00:00,Publication timestamp and Financial considerations; supplemental issuer SEC exhibit for Nasdaq listing,Codex-primary-source-review,2026-09-08T12:14:14+00:00,"AstraZeneca announced a definitive agreement on 2023-01-09 for all CinCor shares at USD 26.00 cash per share plus contingent cash rights of up to USD 10.00 per share, using a tender offer and subsequent merger. The same-day issuer release filed as Exhibit 99.1 identifies Nasdaq symbol CINC. Closing remained conditional. AstraZeneca release explicitly prints 9 January 2023 07:00 GMT. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
9ad4cc25e845241a16af,2023-03-24,"Provention Bio, Inc.",[],tender_offer_target,high,include,1695357,"Provention Bio, Inc.",PRVB,Sanofi,,2023-03-13,date,tender_offer,100,pending,2023-03-13,https://www.sanofi.com/en/media-room/press-releases/2023/2023-03-13-06-00-00-2625367,https://www.sanofi.com/en/media-room/press-releases/2023/2023-03-13-06-00-00-2625367,NASDAQ,2023-03-13,"Sanofi to acquire Provention Bio, adding to portfolio TZIELD",2026-09-08T12:14:14+00:00,"Opening dateline, Transaction Terms and About Provention Bio",Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Sanofi announced a definitive agreement on 2023-03-13 to acquire Provention Bio, Inc. through an offer for all outstanding shares at USD 25.00 cash per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under PRVB. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. Existing collaboration or buyer holdings do not make this an asset license; the new agreement covers the whole company. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
6443e54a16f70942c839,2023-06-30,"DICE Therapeutics, Inc.",[],tender_offer_target,high,include,1645569,"DICE Therapeutics, Inc.",DICE,Eli Lilly and Company,,2023-06-20,date,tender_offer,100,pending,2023-06-20,https://investor.lilly.com/node/49011,https://investor.lilly.com/node/49011,NASDAQ,2023-06-20,Lilly to Acquire DICE Therapeutics to Advance Innovation in Immunology,2026-09-08T12:14:14+00:00,Opening dateline and Terms of the Agreement,Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Eli Lilly and Company announced a definitive agreement on 2023-06-20 to acquire DICE Therapeutics, Inc. through an offer for all outstanding shares at USD 48.00 cash per share, followed by a merger covering remaining shares. The announcement identifies the target as Nasdaq-listed under DICE. Closing remained conditional at announcement. Only announcement date is adopted; no intraday announcement time is inferred. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
4f9e8d2de44f300ea593,2023-07-13,"Sigilon Therapeutics, Inc.",[],tender_offer_target,high,include,1821323,"Sigilon Therapeutics, Inc.",SGTX,Eli Lilly and Company,,2023-06-29,date,tender_offer,100,pending,2023-06-29,https://investor.lilly.com/node/49121,https://investor.lilly.com/node/49121,NASDAQ,2023-06-29,Lilly to Acquire Sigilon Therapeutics,2026-09-08T12:14:14+00:00,"Opening dateline and Terms of the Agreement, including shares not already owned by Lilly",Codex-primary-source-review,2026-09-08T12:14:14+00:00,"Lilly announced a definitive agreement on 2023-06-29 to buy Nasdaq-listed SGTX at USD 14.92 cash per share plus contingent cash rights of up to USD 111.64 per share. The all-share tender and subsequent merger would absorb shares not already owned by Lilly, making this whole-company control. Closing remained conditional. Only announcement date is adopted; no intraday announcement time is inferred. Lilly already held a minority stake; 100% denotes intended total ownership after the merger, not the incremental stake purchased. Proposed ownership of 100% refers to the intended result after closing; it is not a completed ownership or tender acceptance assertion. Codex source review requires independent audit before model use.",false,false
