candidate_id,target_cik,filer_name,filer_tickers,sic_codes,sec_signal_date,last_related_filing_date,event_class,confidence,adjudication_status,model_label_eligible,filing_forms,accession_numbers,primary_source_urls,filing_count,review_notes
3deb439f5a71baf467d6,897075,REPROS THERAPEUTICS INC.,[],"[""2836""]",2018-01-03,2018-01-30,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001144204-18-000566"", ""0001144204-18-001080"", ""0001144204-18-002857"", ""0001144204-18-004067"", ""0001144204-18-004430""]","[""https://www.sec.gov/Archives/edgar/data/897075/000114420418000566/tv482484_sc14da9.htm"", ""https://www.sec.gov/Archives/edgar/data/897075/000114420418001080/tv482783_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/897075/000114420418002857/tv483640_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/897075/000114420418004067/tv484202_sc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/897075/000114420418004430/tv484355_sc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
59265db76f982f3f75ae,1611787,Advanced Accelerator Applications S.A.,[],"[""2834""]",2018-01-08,2018-02-01,merger_proxy_filer,review_required,pending_review,False,"[""SC 14D9/A""]","[""0001104659-18-001292"", ""0001104659-18-001964"", ""0001104659-18-003183"", ""0001104659-18-005860""]","[""https://www.sec.gov/Archives/edgar/data/1611787/000110465918001292/a18-2427_1sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1611787/000110465918001964/a18-2794_1sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1611787/000110465918003183/a18-3541_1sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1611787/000110465918005860/a18-5126_1sc14d9a.htm""]",4,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
10dbce90eb1b3d72e5e4,1557421,"Ignyta, Inc.",[],"[""2834""]",2018-01-10,2018-02-08,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-18-007788"", ""0001193125-18-014732"", ""0001193125-18-018455"", ""0001193125-18-027935"", ""0001193125-18-035583""]","[""https://www.sec.gov/Archives/edgar/data/1557421/000119312518007788/d525073dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1557421/000119312518014732/d519534dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1557421/000119312518018455/d522795dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1557421/000119312518027935/d482806dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1557421/000119312518035583/d538195dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
4f5c1e9873fad4681116,1365216,"Sucampo Pharmaceuticals, Inc.",[],"[""2834""]",2018-01-16,2018-02-13,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-18-011313"", ""0001193125-18-019718"", ""0001193125-18-024459"", ""0001193125-18-031491"", ""0001193125-18-032193"", ""0001193125-18-038123"", ""0001193125-18-040379"", ""0001193125-18-041459""]","[""https://www.sec.gov/Archives/edgar/data/1365216/000119312518011313/d524880dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518019718/d461209dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518024459/d534342dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518031491/d526549dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518032193/d507351dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518038123/d539699dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518040379/d454874dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1365216/000119312518041459/d538701dsc14d9a.htm""]",8,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
d67f9dbe8d11eaa277c4,1594864,"Juno Therapeutics, Inc.",[],"[""2836""]",2018-01-23,2018-03-05,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-18-017233"", ""0001193125-18-030824"", ""0001193125-18-046064"", ""0001193125-18-050526"", ""0001193125-18-050574"", ""0001193125-18-051174"", ""0001193125-18-051591"", ""0001193125-18-064342"", ""0001193125-18-069623""]","[""https://www.sec.gov/Archives/edgar/data/1594864/000119312518017233/d526690dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518030824/d514862dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518046064/d542820dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518050526/d542099dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518050574/d541895dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518051174/d543312dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518051591/d531878dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518064342/d551805dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1594864/000119312518069623/d544288dsc14d9a.htm""]",9,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
f2cb6536654ff119b7a4,1412067,"Cascadian Therapeutics, Inc.",[],"[""8731""]",2018-02-08,2018-03-09,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-18-036471"", ""0001193125-18-045970"", ""0001193125-18-048669"", ""0001193125-18-058600"", ""0001193125-18-075973""]","[""https://www.sec.gov/Archives/edgar/data/1412067/000119312518036471/d529285dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1412067/000119312518045970/d540192dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1412067/000119312518048669/d537336dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1412067/000119312518058600/d546202dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1412067/000119312518075973/d548797dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
082936b63ff85fe5824b,1681689,Bioverativ Inc.,[],"[""2834""]",2018-02-08,2018-03-08,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001047469-18-000655"", ""0001104659-18-008088"", ""0001104659-18-010722"", ""0001104659-18-011705"", ""0001104659-18-013431"", ""0001104659-18-015692""]","[""https://www.sec.gov/Archives/edgar/data/1681689/000104746918000655/a2234467zsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1681689/000110465918008088/a18-3785_4sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1681689/000110465918010722/a18-3785_5sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1681689/000110465918011705/a18-3785_6sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1681689/000110465918013431/a18-3785_7sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1681689/000110465918015692/a18-3785_8sc14d9a.htm""]",6,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
d2bf98d72dde398b3a83,1003642,IMPAX LABORATORIES INC,[],"[""2834""]",2018-02-12,2018-02-12,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-18-040279""]","[""https://www.sec.gov/Archives/edgar/data/1003642/000119312518040279/d474326ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
dc691407d6ec10924c8d,861838,"IDERA PHARMACEUTICALS, INC.",[],"[""2836""]",2018-03-29,2018-05-30,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001047469-18-002331"", ""0001047469-18-004164""]","[""https://www.sec.gov/Archives/edgar/data/861838/000104746918002331/a2235136zdefm14a.htm"", ""https://www.sec.gov/Archives/edgar/data/861838/000104746918004164/a2235897zdefm14a.htm""]",2,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
82f08ac3a7ebe20bd04e,882796,BIOCRYST PHARMACEUTICALS INC,"[""BCRX""]","[""2836""]",2018-03-29,2018-05-30,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001047469-18-002332"", ""0001047469-18-004165""]","[""https://www.sec.gov/Archives/edgar/data/882796/000104746918002332/a2235143zdefm14a.htm"", ""https://www.sec.gov/Archives/edgar/data/882796/000104746918004165/a2235899zdefm14a.htm""]",2,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
