owner_name,asset_count
AUROBINDO PHARMA LTD,311
Merck Sharp & Dohme LLC,274
Novartis Pharmaceuticals,271
Hoffmann-La Roche,221
GlaxoSmithKline,203
ZYDUS PHARMACEUTICALS USA INC,199
HIKMA PHARMACEUTICALS USA INC,191
"Janssen Research & Development, LLC",189
SANDOZ INC,177
FRESENIUS KABI USA LLC,170
ALEMBIC PHARMACEUTICALS LTD,164
DR REDDYS LABORATORIES LTD,160
CHARTWELL RX SCIENCES LLC,156
"Jiangsu HengRui Medicine Co., Ltd.",155
"Qilu Pharmaceutical Co., Ltd.",149
RISING PHARMA HOLDINGS INC,134
GLAND PHARMA LTD,129
APOTEX INC,126
AstraZeneca,125
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",123
TEVA PHARMACEUTICALS USA INC,119
ALKEM LABORATORIES LTD,116
MYLAN PHARMACEUTICALS INC,115
MACLEODS PHARMACEUTICALS LTD,111
Akeso,103
EUGIA PHARMA SPECIALITIES LTD,102
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",101
HOSPIRA INC,100
Boehringer Ingelheim,99
MSN LABORATORIES PRIVATE LTD,97
SUN PHARMACEUTICAL INDUSTRIES LTD,97
LUPIN LTD,96
Shanghai Henlius Biotech,94
ACCORD HEALTHCARE INC,92
GLENMARK PHARMACEUTICALS LTD,88
EPIC PHARMA LLC,88
MICRO LABS LTD,88
NOVITIUM PHARMA LLC,85
BAXTER HEALTHCARE CORP,82
PH HEALTH LTD,82
AMNEAL EU LTD,80
SOMERSET THERAPEUTICS LLC,79
"Genentech, Inc.",75
Bristol-Myers Squibb,74
Daiichi Sankyo,74
PRINSTON PHARMACEUTICAL INC,73
WATSON LABORATORIES INC,71
TEVA PHARMACEUTICALS USA,70
"Sichuan Baili Pharmaceutical Co., Ltd.",70
SCIEGEN PHARMACEUTICALS INC,69
Eli Lilly and Company,68
"Shandong Suncadia Medicine Co., Ltd.",68
"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",67
CIPLA LTD,65
MEITHEAL PHARMACEUTICALS INC,65
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",65
Pfizer,65
Takeda,65
HETERO LABS LTD UNIT V,64
AbbVie,63
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",63
Shanghai JMT-Bio Inc.,63
RUBICON RESEARCH LTD,62
HETERO LABS LTD UNIT III,61
BIONPHARMA INC,61
Innovent Biologics (Suzhou) Co. Ltd.,60
"RemeGen Co., Ltd.",59
ViiV Healthcare,58
SAGENT PHARMACEUTICALS INC,57
ANNORA PHARMA PRIVATE LTD,55
Genmab,55
TARO PHARMACEUTICAL INDUSTRIES LTD,54
"Shanghai Hengrui Pharmaceutical Co., Ltd.",54
"Changchun GeneScience Pharmaceutical Co., Ltd.",53
TORRENT PHARMACEUTICALS LTD,52
UNICHEM LABORATORIES LTD,52
Hansoh BioMedical R&D Company,52
"Haisco Pharmaceutical Group Co., Ltd.",51
MANKIND PHARMA LTD,49
"Astellas Pharma Global Development, Inc.",49
Biocad,49
LANNETT CO INC,47
ZYDUS LIFESCIENCES LTD,47
AJANTA PHARMA LTD,47
Sanofi,47
SUN PHARMA CANADA INC,46
Addpharma Inc.,46
CanSino Biologics Inc.,46
STRIDES PHARMA GLOBAL PTE LTD,45
DR REDDYS LABORATORIES SA,45
PHARMOBEDIENT CONSULTING LLC,45
Celgene,45
"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",45
BAUSCH AND LOMB INC,44
Bayer,44
Beijing Biotech,44
Regeneron Pharmaceuticals,44
PADAGIS ISRAEL PHARMACEUTICALS LTD,43
MYLAN LABORATORIES LTD,43
Amgen,43
"CSPC Megalith Biopharmaceutical Co.,Ltd.",42
"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",42
SUN PHARMACEUTICAL INDUSTRIES INC,41
"Ono Pharmaceutical Co., Ltd.",41
IMPAX LABORATORIES INC,40
B BRAUN MEDICAL INC,40
REGCON HOLDINGS LLC,40
NOVARTIS PHARMACEUTICALS CORP,40
SENORES PHARMACEUTICALS INC,39
ASCENT PHARMACEUTICALS INC,39
CHARTWELL MOLECULAR HOLDINGS LLC,39
AZURITY PHARMACEUTICALS INC,39
CAPLIN STERILES LTD,38
BeOne Medicines,38
BAUSCH HEALTH US LLC,37
FOUGERA PHARMACEUTICALS INC,37
PADAGIS US LLC,37
Keymed Biosciences Co.Ltd,37
ACTAVIS ELIZABETH LLC,36
NOVEL LABORATORIES INC,36
ZYDUS LIFESCIENCES GLOBAL FZE,36
INVAGEN PHARMACEUTICALS INC,36
Sinocelltech Ltd.,36
AMERICAN REGENT INC,35
Ascentage Pharma Group Inc.,34
"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",34
ENCUBE ETHICALS PRIVATE LTD,33
Gilead Sciences,33
