ticker,company_name,ma_research_score,ma_rank,ma_band,portfolio_score,acquirability_score,market_data_confidence,integrity_diligence_score,execution_risk_score,leadership_risk_score,combined_diligence_risk,risk_coverage,confirmed_misconduct_count,confirmed_individual_finding_count,strategic_archetype,suggested_transaction_structure,decision_rule,primary_risk_drivers,interpretation
VNDA,Vanda Pharmaceuticals Inc. Common Stock,85.73,1,high,87.15,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ARDX,Ardelyx Inc. Common Stock,84.87,2,high,81.95,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
CRMD,CorMedix Inc. Common Stock,84.29,3,high,81.99,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
RIGL,Rigel Pharmaceuticals Inc. Common Stock,84.19,4,high,84.34,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
XFOR,X4 Pharmaceuticals Inc. Common Stock,83.54,5,high,80.61,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,83.44,6,high,84.81,90.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
GERN,Geron Corporation Common Stock,83.26,7,high,80.11,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
COLL,Collegium Pharmaceutical Inc. Common Stock,83.2,8,high,80.0,100.0,44.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,83.13,9,high,80.96,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
CADL,Candel Therapeutics Inc. Common Stock,83.04,10,high,78.61,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
AKBA,Akebia Therapeutics Inc. Common Stock,83.03,11,high,78.59,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
RAPP,Rapport Therapeutics Inc. Common Stock,82.91,12,high,80.56,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
TENX,Tenax Therapeutics Inc. Common Stock,82.01,13,high,78.93,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
OCUL,Ocular Therapeutix Inc. Common Stock,81.98,14,high,76.68,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
FENC,Fennec Pharmaceuticals Inc. Common Stock,81.9,15,high,78.73,100.0,32.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
LBRX,LB Pharmaceuticals Inc Common Stock,81.82,16,high,76.41,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
SNDX,Syndax Pharmaceuticals Inc. Common Stock,81.79,17,high,76.35,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
REPL,Replimune Group Inc. Common Stock,81.78,18,high,76.33,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
VSTM,Verastem Inc. Common Stock,81.71,19,high,79.83,100.0,56.0,0.0,0.0,0.0,0.0,limited_no_detected_signals,0,0,ma_candidate_risk_unscreened,No structure recommendation until execution-risk coverage is complete.,High M&A research rank; current risk collectors have no company-specific evidence.,[],Dual-axis research triage. M&A scores are not calibrated probabilities; risk scores are not findings of incompetence or fraud.
